Crash ID,County,Crash Death Count,Driver Blood Alcohol Content Test Result,Unit Death Count,Vehicle Model Year,Person Age
16860878,DALLAS,0,No Data,0,2018,22
16860878,DALLAS,0,No Data,0,2008,54
16862826,HIDALGO,0,No Data,0,2016,30
16864336,ECTOR,1,0.15,1,1995,45
16864336,ECTOR,1,0.15,1,1995,35
16874473,HIDALGO,0,0.204,0,2010,36
16910747,HAYS,0,0.079,0,2015,57
16986799,TARRANT,0,No Data,0,2004,44
17456336,HARRIS,0,0.173,0,2005,27
17456336,HARRIS,0,No Data,0,2008,39
17471004,HARRIS,0,No Data,0,2001,28
17637302,HARRIS,0,0.237,0,2017,52
17663411,HARRIS,0,0.127,0,2008,42
16843187,CHAMBERS,0,No Data,0,2009,23
16843187,CHAMBERS,0,No Data,0,2009,36
16843195,LUBBOCK,0,No Data,0,2001,No Data
16843195,LUBBOCK,0,No Data,0,2012,21
16843195,LUBBOCK,0,No Data,0,2012,21
16843195,LUBBOCK,0,No Data,0,2012,20
16843775,SMITH,2,0,1,2007,60
16843775,SMITH,2,0,1,2007,57
16843775,SMITH,2,0.138,1,2012,26
16846884,JASPER,0,No Data,0,2018,29
16847325,HILL,1,0.26,1,2004,35
16848011,WALLER,0,No Data,0,2007,32
16849091,WICHITA,0,0.145,0,2014,46
16849109,SAN JACINTO,0,0.113,0,2011,31
16849109,SAN JACINTO,0,0.113,0,2011,33
16849191,HAYS,0,No Data,0,2012,22
16849282,MIDLAND,0,0.089,0,2014,21
16850363,NUECES,0,0.164,0,2017,30
16850363,NUECES,0,No Data,0,2016,47
16850363,NUECES,0,No Data,0,2016,47
16850991,HIDALGO,0,0.25,0,2002,22
16850991,HIDALGO,0,No Data,0,2004,22
16850991,HIDALGO,0,No Data,0,2004,28
16850991,HIDALGO,0,No Data,0,2004,5
16852318,SMITH,0,No Data,0,2019,52
16852318,SMITH,0,No Data,0,2013,28
16852727,GRIMES,0,No Data,0,2014,57
16852734,ORANGE,0,No Data,0,2004,31
16854084,TARRANT,0,0.25,0,1997,47
16854084,TARRANT,0,No Data,0,2005,39
16857055,LUBBOCK,0,0.08,0,2008,86
16857055,LUBBOCK,0,0.08,0,2008,88
16857055,LUBBOCK,0,No Data,0,1994,58
16859186,COLLIN,0,No Data,0,2010,37
16860879,DALLAS,0,No Data,0,2002,17
16860881,DALLAS,0,No Data,0,2004,45
16860881,DALLAS,0,No Data,0,2011,33
16865378,KAUFMAN,0,0.277,0,2003,49
16866159,MCLENNAN,0,0.233,0,2016,29
16867656,HARRIS,0,0.22,0,1999,47
16867656,HARRIS,0,No Data,0,2013,24
16999965,TARRANT,0,No Data,0,1996,29
17462961,HARRIS,0,No Data,0,2006,35
17462961,HARRIS,0,No Data,0,2017,43
17462961,HARRIS,0,No Data,0,2017,38
16843121,HARRIS,0,No Data,0,2005,24
16843121,HARRIS,0,No Data,0,2013,64
16843121,HARRIS,0,No Data,0,2013,55
16843323,COLLIN,0,No Data,0,2007,21
16843499,TRAVIS,0,No Data,0,2016,50
16843636,HARRIS,0,0.304,0,2011,33
16843636,HARRIS,0,No Data,0,2011,24
16847522,HIDALGO,0,No Data,0,2008,40
16847537,MCLENNAN,0,No Data,0,2003,22
16847537,MCLENNAN,0,No Data,0,2003,23
16849050,MONTGOMERY,0,No Data,0,2018,55
16849209,HARRIS,1,No Data,0,2001,28
16849209,HARRIS,1,No Data,0,2001,27
16849209,HARRIS,1,No Data,0,2001,8
16849209,HARRIS,1,No Data,0,2000,23
16849209,HARRIS,1,No Data,0,2000,44
16849209,HARRIS,1,No Data,0,2000,6
16849209,HARRIS,1,No Data,1,No Data,41
16849903,GALVESTON,0,No Data,0,2014,37
16849903,GALVESTON,0,No Data,0,2017,39
16851174,TARRANT,0,0.15,0,2013,21
16851181,TARRANT,0,No Data,0,2001,46
16851389,GAINES,0,No Data,0,2001,30
16851389,GAINES,0,No Data,0,2011,55
16851389,GAINES,0,No Data,0,2011,10
16851389,GAINES,0,No Data,0,2011,5
16851389,GAINES,0,No Data,0,2011,6
16852271,CAMERON,0,No Data,0,2012,23
16852940,CALHOUN,0,No Data,0,2012,21
16852940,CALHOUN,0,No Data,0,2012,26
16853761,WILSON,0,No Data,0,2000,48
16854383,NUECES,0,No Data,0,2002,39
16854383,NUECES,0,No Data,0,2002,33
16854383,NUECES,0,No Data,0,2002,2
16854383,NUECES,0,No Data,0,2002,3
16854997,GUADALUPE,0,No Data,0,2013,57
16854997,GUADALUPE,0,No Data,0,2010,31
16854997,GUADALUPE,0,No Data,0,2010,34
16856393,SAN PATRICIO,0,No Data,0,2014,68
16856393,SAN PATRICIO,0,No Data,0,2014,61
16856393,SAN PATRICIO,0,No Data,0,2014,37
16856393,SAN PATRICIO,0,No Data,0,2001,61
16857522,PALO PINTO,0,No Data,0,2015,62
16857522,PALO PINTO,0,0.135,0,2017,31
16857762,ARCHER,1,No Data,1,No Data,68
16858398,DALLAS,0,No Data,0,2018,25
16858398,DALLAS,0,No Data,0,2018,29
16858974,TARRANT,0,0.297,0,2007,51
16858974,TARRANT,0,0.297,0,2007,58
16858974,TARRANT,0,No Data,0,2012,49
16858974,TARRANT,0,No Data,0,2012,20
16860944,MONTGOMERY,0,No Data,0,2013,40
16860944,MONTGOMERY,0,No Data,0,2013,7
16860944,MONTGOMERY,0,No Data,0,2013,9
16869015,COMANCHE,0,No Data,0,1984,53
16869015,COMANCHE,0,No Data,0,1984,52
16869015,COMANCHE,0,No Data,0,1984,45
16869150,HIDALGO,0,No Data,0,2003,31
16869150,HIDALGO,0,No Data,0,2016,28
16869150,HIDALGO,0,No Data,0,2005,36
16870237,DALLAS,0,No Data,0,2016,29
16870237,DALLAS,0,No Data,0,2016,30
16986370,TARRANT,0,No Data,0,2017,35
17000898,TARRANT,0,No Data,0,2009,27
17662659,HARRIS,0,No Data,0,2010,35
17662659,HARRIS,0,No Data,0,2009,39
16842907,DENTON,0,No Data,0,2012,23
16843402,BEXAR,0,0.096,0,2016,22
16843402,BEXAR,0,0.096,0,2016,21
16843402,BEXAR,0,0.096,0,2016,20
16843402,BEXAR,0,No Data,0,No Data,26
16843543,BEXAR,0,0.217,0,2009,23
16843545,BEXAR,0,0.13,0,2010,27
16843685,TARRANT,0,0.099,0,2003,19
16843735,EL PASO,0,0.168,0,2001,32
16843735,EL PASO,0,No Data,0,2009,17
16843736,DALLAS,0,No Data,0,2017,43
16843736,DALLAS,0,No Data,0,2018,30
16844030,BEXAR,0,No Data,0,1999,29
16844030,BEXAR,0,No Data,0,1999,30
16844030,BEXAR,0,No Data,0,1999,5
16844297,HARRIS,0,No Data,0,2017,32
16844297,HARRIS,0,0.251,0,2008,30
16844310,DALLAS,0,No Data,0,1998,47
16844310,DALLAS,0,No Data,0,1998,27
16844310,DALLAS,0,No Data,0,2015,49
16844310,DALLAS,0,No Data,0,2015,45
16844365,BEXAR,0,0.12,0,2011,28
16844365,BEXAR,0,0.12,0,2011,30
16844375,BEXAR,0,0.193,0,2017,28
16844375,BEXAR,0,No Data,0,2015,56
16844376,BEXAR,0,0.187,0,2008,34
16844376,BEXAR,0,0.187,0,2008,23
16844376,BEXAR,0,No Data,0,2015,24
16844393,BEXAR,0,0.181,0,2009,36
16844393,BEXAR,0,No Data,0,1998,25
16844393,BEXAR,0,No Data,0,1998,19
16844393,BEXAR,0,No Data,0,1998,1
16844447,DALLAS,0,No Data,0,2015,27
16844639,EL PASO,0,0.204,0,1998,49
16844639,EL PASO,0,No Data,0,2004,31
16844971,HARRIS,0,0.22,0,2014,32
16845212,BEXAR,0,No Data,0,2005,40
16845212,BEXAR,0,No Data,0,2005,37
16845212,BEXAR,0,No Data,0,No Data,24
16845316,COOKE,0,No Data,0,2006,21
16845316,COOKE,0,No Data,0,2006,30
16845316,COOKE,0,No Data,0,2006,17
16845316,COOKE,0,No Data,0,2006,16
16845333,DALLAS,0,No Data,0,2016,25
16845333,DALLAS,0,No Data,0,2009,65
16845333,DALLAS,0,No Data,0,2009,72
16845333,DALLAS,0,No Data,0,2015,28
16845333,DALLAS,0,No Data,0,2015,24
16845333,DALLAS,0,No Data,0,2014,26
16845337,HARRIS,0,0.146,0,2016,29
16845349,MCLENNAN,0,0.172,0,2014,40
16845477,HARRIS,0,No Data,0,2004,19
16845477,HARRIS,0,No Data,0,2009,51
16845794,BASTROP,0,No Data,0,2006,40
16846112,HAYS,0,0.186,0,1997,65
16846112,HAYS,0,No Data,0,2006,62
16846534,COLLIN,0,0.239,0,2013,36
16846559,TARRANT,0,No Data,0,2014,34
16846601,MEDINA,0,No Data,0,2016,29
16846863,CASS,0,No Data,0,2003,22
16846863,CASS,0,No Data,0,2007,67
16847781,DALLAS,0,No Data,0,2007,55
16847798,EL PASO,0,0.139,0,2007,29
16847798,EL PASO,0,0.139,0,2007,30
16847993,LUBBOCK,0,0.207,0,2016,25
16848213,TRAVIS,0,0.29,0,2011,25
