Crash ID,Crash Time,Day of Week
16853612,159,FRIDAY
16853615,46,FRIDAY
16853755,450,FRIDAY
16853863,58,FRIDAY
16853896,40,FRIDAY
16855012,2244,FRIDAY
16855267,1911,FRIDAY
16855550,1804,FRIDAY
16855748,1958,FRIDAY
16855789,1657,FRIDAY
16855931,1612,FRIDAY
16856036,1910,FRIDAY
16856068,210,FRIDAY
16856072,602,FRIDAY
16856160,2358,FRIDAY
16856580,2203,FRIDAY
16856635,2200,FRIDAY
16856742,1749,FRIDAY
16856746,1508,FRIDAY
16856817,2155,FRIDAY
16857236,2015,FRIDAY
16857324,1553,FRIDAY
16857554,749,FRIDAY
16858463,2005,FRIDAY
16858522,2114,FRIDAY
16858701,2140,FRIDAY
16858731,149,FRIDAY
16858758,0,FRIDAY
16858793,2207,FRIDAY
16858862,2133,FRIDAY
16859003,1115,FRIDAY
16859629,2038,FRIDAY
16859755,2205,FRIDAY
16859777,2030,FRIDAY
16859809,1805,FRIDAY
16859942,215,FRIDAY
16860282,30,FRIDAY
16860365,2100,FRIDAY
16860764,19,FRIDAY
16861077,1959,FRIDAY
16861096,2058,FRIDAY
16861100,2224,FRIDAY
16861103,2303,FRIDAY
16861219,326,FRIDAY
16862142,2015,FRIDAY
16862498,7,FRIDAY
16862541,1836,FRIDAY
16862736,2009,FRIDAY
16863456,36,FRIDAY
16863496,2231,FRIDAY
16863498,2129,FRIDAY
16863513,2239,FRIDAY
16863807,2226,FRIDAY
16864055,1810,FRIDAY
16865911,2010,FRIDAY
16867090,2345,FRIDAY
16868013,1254,FRIDAY
16868928,2030,FRIDAY
16869008,233,FRIDAY
16869583,1730,FRIDAY
16871146,140,FRIDAY
16871605,2210,FRIDAY
16871970,100,FRIDAY
16872095,1958,FRIDAY
16872184,506,FRIDAY
16872671,2039,FRIDAY
16873063,233,FRIDAY
16873078,235,FRIDAY
16874457,309,FRIDAY
16875029,2045,FRIDAY
16878307,149,FRIDAY
16878946,330,FRIDAY
17003135,2150,FRIDAY
17042123,2336,FRIDAY
17131210,2216,FRIDAY
17634027,1740,FRIDAY
16855569,445,SATURDAY
16855885,1008,SATURDAY
16856004,17,SATURDAY
16856080,552,SATURDAY
16856099,1835,SATURDAY
16856108,42,SATURDAY
16856147,315,SATURDAY
16856172,238,SATURDAY
16856184,229,SATURDAY
16856199,122,SATURDAY
16856251,2323,SATURDAY
16856302,1110,SATURDAY
16856306,238,SATURDAY
16856628,150,SATURDAY
16856640,253,SATURDAY
16856689,1453,SATURDAY
16856813,2355,SATURDAY
16856846,1843,SATURDAY
16856874,200,SATURDAY
16856945,357,SATURDAY
16856953,2242,SATURDAY
16856987,1336,SATURDAY
16857002,242,SATURDAY
16857031,119,SATURDAY
16857210,7,SATURDAY
16857271,1908,SATURDAY
16857321,144,SATURDAY
16857384,29,SATURDAY
16857562,1121,SATURDAY
16857721,854,SATURDAY
16857782,740,SATURDAY
16858132,2249,SATURDAY
16858297,2144,SATURDAY
16858681,540,SATURDAY
16858695,142,SATURDAY
16858851,1306,SATURDAY
16859106,419,SATURDAY
16859347,2121,SATURDAY
16859458,2342,SATURDAY
16859527,152,SATURDAY
16859538,1921,SATURDAY
16859559,226,SATURDAY
16860000,1930,SATURDAY
16860551,305,SATURDAY
16861164,1924,SATURDAY
16861186,136,SATURDAY
16861340,2157,SATURDAY
16861532,214,SATURDAY
16861534,555,SATURDAY
16861595,415,SATURDAY
16861867,1856,SATURDAY
16862337,1901,SATURDAY
16862864,255,SATURDAY
16862896,250,SATURDAY
16863104,310,SATURDAY
16863737,1736,SATURDAY
16863994,2149,SATURDAY
16864080,2315,SATURDAY
16864114,505,SATURDAY
16864777,132,SATURDAY
16865134,1841,SATURDAY
16865326,405,SATURDAY
16865440,1337,SATURDAY
16865521,1835,SATURDAY
16865584,1840,SATURDAY
16865706,247,SATURDAY
16865817,1,SATURDAY
16865822,228,SATURDAY
16865950,235,SATURDAY
16866131,216,SATURDAY
16866268,630,SATURDAY
16866571,1852,SATURDAY
16866732,145,SATURDAY
16867291,2035,SATURDAY
16867686,336,SATURDAY
16867767,345,SATURDAY
16868145,510,SATURDAY
16868479,25,SATURDAY
16868770,52,SATURDAY
16869046,1846,SATURDAY
16869520,2205,SATURDAY
16869796,1900,SATURDAY
16869977,153,SATURDAY
16870223,203,SATURDAY
16870963,30,SATURDAY
16870966,301,SATURDAY
16871287,2153,SATURDAY
16871343,2230,SATURDAY
16871776,130,SATURDAY
16871856,1830,SATURDAY
16872490,312,SATURDAY
16874281,340,SATURDAY
16874347,2100,SATURDAY
16875272,1516,SATURDAY
16875619,645,SATURDAY
16876093,2051,SATURDAY
16880182,39,SATURDAY
16880183,2351,SATURDAY
16937700,1929,SATURDAY
16987143,330,SATURDAY
16987145,44,SATURDAY
17012101,2220,SATURDAY
17454338,230,SATURDAY
17632268,300,SATURDAY
16856191,233,SUNDAY
16856215,342,SUNDAY
16856383,250,SUNDAY
16856819,1001,SUNDAY
16856881,208,SUNDAY
16856934,2209,SUNDAY
16856940,2243,SUNDAY
16856983,2125,SUNDAY
16856996,156,SUNDAY
16857114,834,SUNDAY
16857184,205,SUNDAY
16857306,350,SUNDAY
16857331,238,SUNDAY
16857342,429,SUNDAY
16857401,320,SUNDAY
16857450,603,SUNDAY
16857529,1346,SUNDAY
16857543,24,SUNDAY
16857638,615,SUNDAY
16857742,151,SUNDAY
16857942,2345,SUNDAY
16857959,2232,SUNDAY
16858010,425,SUNDAY
16858159,2348,SUNDAY
16858384,215,SUNDAY
16858521,353,SUNDAY
16858549,100,SUNDAY
16858735,354,SUNDAY
16859623,2227,SUNDAY
16859624,59,SUNDAY
16859790,1939,SUNDAY
16860141,2325,SUNDAY
16860198,2355,SUNDAY
16860318,2214,SUNDAY
16860333,2359,SUNDAY
16860354,1927,SUNDAY
16861180,1901,SUNDAY
16861191,340,SUNDAY
16861194,2358,SUNDAY
16861202,1519,SUNDAY
16861899,1825,SUNDAY
16862047,347,SUNDAY
16862189,1258,SUNDAY
16862460,2215,SUNDAY
16862483,350,SUNDAY
16862639,220,SUNDAY
16862852,2228,SUNDAY
16863491,215,SUNDAY
16863520,208,SUNDAY
16863524,218,SUNDAY
16864019,230,SUNDAY
16864071,444,SUNDAY
16864126,56,SUNDAY
16864772,234,SUNDAY
16865101,1420,SUNDAY
16865108,1924,SUNDAY
16865233,1035,SUNDAY
16865892,204,SUNDAY
16865942,250,SUNDAY
16866267,200,SUNDAY
16866406,1848,SUNDAY
16866641,236,SUNDAY
16866846,2215,SUNDAY
16866904,237,SUNDAY
16867067,152,SUNDAY
16867149,30,SUNDAY
16867197,2120,SUNDAY
16867354,1645,SUNDAY
16867533,116,SUNDAY
16867985,1645,SUNDAY
16868208,2238,SUNDAY
16868288,41,SUNDAY
16868621,151,SUNDAY
16868805,222,SUNDAY
16868938,253,SUNDAY
16869635,1626,SUNDAY
16869773,20,SUNDAY
16869938,247,SUNDAY
16870240,0,SUNDAY
